"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202620,"Spring Term 2026",Undergraduate,20455,MATH,1113,006,01,Active,"COLLEGE ALGEBRA",TR,"09:30 am-10:50 am",Corley,104,"17 / 30 / 36",1/12/2026,5/6/2026,"Taylor, Teresa L.","MATH 1113 006, CRN-20455",M,,"Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,20959,MATH,1113,A01,01,Active,"COLLEGE ALGEBRA",MW,"08:00 am-09:20 am","Ozark Allied Health",111,"17 / 23 / 28",1/12/2026,5/6/2026,"Koone, Shelley D.","MATH 1113 A01, CRN-20959",M,,"Ozark On-campus"
202620,"Spring Term 2026",Undergraduate,20959,MATH,1113,A01,01,Active,"COLLEGE ALGEBRA",MW,"08:00 am-09:20 am","Ozark Allied Health",111,"17 / 23 / 28",1/12/2026,5/6/2026,"Ingram, Brianna R.","MATH 1113 A01, CRN-20959",M,,"Ozark On-campus"
202620,"Spring Term 2026",Undergraduate,20959,MATH,1113,A01,01,Active,"COLLEGE ALGEBRA",MW,"08:00 am-09:20 am","Ozark Allied Health",111,"17 / 23 / 28",1/12/2026,5/6/2026,"Macy, Benjamin A.","MATH 1113 A01, CRN-20959",M,,"Ozark On-campus"
202620,"Spring Term 2026",Undergraduate,20961,MATH,1113,A02,,Canceled,"COLLEGE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"0 / 0 / na",,,Staff,"MATH 1113 A02, CRN-20961",M,,"Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20963,MATH,1113,A03,01,Active,"COLLEGE ALGEBRA",R,"05:00 pm-07:50 pm","Ozark Allied Health",111,"21 / 23 / 28",1/12/2026,5/6/2026,"Koone, Shelley D.","MATH 1113 A03, CRN-20963",M,,"Ozark On-campus"
202620,"Spring Term 2026",Undergraduate,21095,MATH,1113,ET1,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Multiple High Schools (ET)",ET,"13 / 71 / 99999",1/12/2026,5/6/2026,"Ridenour, Anna M.","MATH 1113 ET1, CRN-21095",M,"Web Only: Incl Proctored Exams","High School"
202620,"Spring Term 2026",Undergraduate,21097,MATH,1113,ET2,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Multiple High Schools (ET)",ET,"-19 / 35 / 99999",1/12/2026,5/6/2026,"Singleton, Brit P.","MATH 1113 ET2, CRN-21097",M,"Web Only: Incl Proctored Exams","High School"
202620,"Spring Term 2026",Undergraduate,20470,MATH,1113,F01,01,Active,"COLLEGE ALGEBRA",TBA,TBA,Unassigned,Unassigned,"12 / 30 / na",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 1113 F01, CRN-20470",M,"Hyflex Scheduling Section","Russellville - Location Indeterminate"
202620,"Spring Term 2026",Undergraduate,20470,MATH,1113,F01,01,Active,"COLLEGE ALGEBRA",MWF,"10:00 am-10:50 am",Corley,269,"12 / 30 / 36",1/12/2026,5/6/2026,"Hogan, Jessica L.","MATH 1113 F01, CRN-20470",M,"Hyflex Scheduling Section","Russellville On-campus"
202620,"Spring Term 2026",Undergraduate,21088,MATH,1113,P01,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Alma High School",AHS,"28 / 70 / 99999",1/12/2026,5/6/2026,"Bean, Garin","MATH 1113 P01, CRN-21088",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21112,MATH,1113,P02,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Bauxite High School",BHS,"5 / 15 / 99999",1/12/2026,5/6/2026,"Hilderbrand, Jennifer","MATH 1113 P02, CRN-21112",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21120,MATH,1113,P03,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Dardanelle High School",DHS,"-6 / 17 / 99999",1/12/2026,5/6/2026,"Parker, Meagan A.","MATH 1113 P03, CRN-21120",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21127,MATH,1113,P04,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Dover High School",DHS,"-5 / 0 / 99999",1/12/2026,5/6/2026,"Sumners, Jon T.","MATH 1113 P04, CRN-21127",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21130,MATH,1113,P05,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Greenwood High School",GHS,"-12 / 0 / 99999",1/12/2026,5/6/2026,"Billingsley, Daniel W.","MATH 1113 P05, CRN-21130",M,,"High School"
202620,"Spring Term 2026",Undergraduate,21161,MATH,1113,P06,01,Active,"COLLEGE ALGEBRA",TBA,TBA,"Russellville High School",RHS,"0 / 10 / 99999",1/12/2026,5/6/2026,"Lachowsky, Jennifer A.","MATH 1113 P06, CRN-21161",M,,"High School"
