"Term_Code","Term_Desc","Level","CRN","Subject","Number","Section","Session","Course_Status","Title","Meeting_Days","Meeting_Times","Building","Room","Seats_Avail","Start_Date","End_Date","Instructor","course_id","Campus","Delivery_Method","LOCATION"
202670,"Fall Term 2026",Undergraduate,72121,MATH,1110,P07,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"1 / 8 / 99999",8/19/2026,12/11/2026,"Holland, Jeremy K.","MATH 1110 P07, CRN-72121",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72123,MATH,1110,P08,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"2 / 25 / 99999",8/19/2026,12/11/2026,"Holland, Jeremy K.","MATH 1110 P08, CRN-72123",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72125,MATH,1110,P09,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"5 / 20 / 99999",8/19/2026,12/11/2026,"Holland, Jeremy K.","MATH 1110 P09, CRN-72125",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72127,MATH,1110,P10,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"5 / 30 / 99999",8/19/2026,12/11/2026,"Holland, Jeremy K.","MATH 1110 P10, CRN-72127",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72129,MATH,1110,P11,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Greenwood High School",GHS,"4 / 30 / 99999",8/19/2026,12/11/2026,"Holland, Jeremy K.","MATH 1110 P11, CRN-72129",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72133,MATH,1110,P12,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Paris High School",PHS,"1 / 2 / 99999",8/19/2026,12/11/2026,"Gossard, Ronnye M.","MATH 1110 P12, CRN-72133",M,,"High School"
202670,"Fall Term 2026",Undergraduate,72137,MATH,1110,P13,01,Active,"COLLEGE ALGEBRA LAB",TBA,TBA,"Van Buren High School",VBHS,"8 / 120 / 99999",8/19/2026,12/11/2026,"Salyer, Kellie S.","MATH 1110 P13, CRN-72137",M,,"High School"
202670,"Fall Term 2026",Undergraduate,70289,MATH,1113,001,01,Active,"COLLEGE ALGEBRA",MWF,"10:00 am-10:50 am",Rothwell,221,"-30 / 0 / 50",8/19/2026,12/11/2026,"King, Jamie L.","MATH 1113 001, CRN-70289",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70222,MATH,1113,002,01,Active,"COLLEGE ALGEBRA",TR,"01:00 pm-02:20 pm",Corley,104,"-19 / 0 / 36",8/19/2026,12/11/2026,"Bain, Leslie M.","MATH 1113 002, CRN-70222",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70225,MATH,1113,003,01,Active,"COLLEGE ALGEBRA",TR,"11:00 am-12:20 pm",Corley,103,"-20 / 0 / 36",8/19/2026,12/11/2026,"Bain, Leslie M.","MATH 1113 003, CRN-70225",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70295,MATH,1113,004,01,Active,"COLLEGE ALGEBRA",MWF,"08:00 am-08:50 am",Corley,103,"-29 / 0 / 36",8/19/2026,12/11/2026,"Winn, Janet L.","MATH 1113 004, CRN-70295",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70298,MATH,1113,005,01,Active,"COLLEGE ALGEBRA",MWF,"01:00 pm-01:50 pm",Corley,103,"-29 / 0 / 36",8/19/2026,12/11/2026,"Winn, Janet L.","MATH 1113 005, CRN-70298",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70282,MATH,1113,006,01,Active,"COLLEGE ALGEBRA",MWF,"10:00 am-10:50 am","Ross Pendergraft Library",332,"-23 / 0 / 30",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 1113 006, CRN-70282",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70285,MATH,1113,007,01,Active,"COLLEGE ALGEBRA",MWF,"11:00 am-11:50 am","Ross Pendergraft Library",332,"-23 / 0 / 30",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 1113 007, CRN-70285",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70254,MATH,1113,008,01,Active,"COLLEGE ALGEBRA",MWF,"08:00 am-08:50 am",Corley,104,"-33 / 0 / 36",8/19/2026,12/11/2026,"Growns, Landon C.","MATH 1113 008, CRN-70254",M,,"Russellville On-campus"
202670,"Fall Term 2026",Undergraduate,70250,MATH,1113,009,01,Active,"COLLEGE ALGEBRA",MWF,"10:00 am-10:50 am",Corley,103,"-33 / 0 / 36",8/19/2026,12/11/2026,"Taylor, Teresa L.","MATH 1113 009, CRN-70250",M,,"Russellville On-campus"
