Subject,Number,Section,Type,Title,Credits,Instructor,Delivery Mode,Scheduling Status,Time Slot,Duration,Days,Start,End,Building,Room,Cross-List,CRN,Seats Available,Source Row
MATH,1113,TC2,,COLLEGE ALGEBRA,,"Ballard, Kasey L.",arranged,unscheduled,,,,,,,,,20485,23 / 32 / na,58
MATH,1203,P01,,PLANE TRIGONOMETRY,,"Bean, Garin",arranged,unscheduled,,,,,,Alma High School,AHS,,21086,1 / 38 / 99999,59
MATH,1203,P02,,PLANE TRIGONOMETRY,,"Sumners, Jon T.",arranged,unscheduled,,,,,,Dover High School,DHS,,21129,-2 / 0 / 99999,60
MATH,1203,P03,,PLANE TRIGONOMETRY,,"Lachowsky, Jennifer A.",arranged,unscheduled,,,,,,Russellville High School,RHS,,21160,10 / 81 / 99999,61
MATH,1203,P04,,PLANE TRIGONOMETRY,,"Mashburn, Marlena J.",arranged,unscheduled,,,,,,Valley Christian School,VCS,,21165,3 / 5 / 999,62
MATH,1203,P05,,PLANE TRIGONOMETRY,,"Salyer, Kellie S.",arranged,unscheduled,,,,,,Van Buren High School,VBHS,,21169,4 / 41 / 99999,63
MATH,1203,P06,,PLANE TRIGONOMETRY,,"Holland, Jeremy K.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21890,1 / 16 / 99999,64
MATH,1203,P07,,PLANE TRIGONOMETRY,,"Holland, Jeremy K.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21891,3 / 25 / 99999,65
MATH,1203,P08,,PLANE TRIGONOMETRY,,"Holland, Jeremy K.",arranged,unscheduled,,,,,,Greenwood High School,GHS,,21892,4 / 24 / 99999,66
MATH,1203,P09,,PLANE TRIGONOMETRY,,"Fudge, Danna L.",arranged,unscheduled,,,,,,Van Buren High School,VBHS,,21955,-2 / 67 / 99999,67
MATH,1203,TC1,,PLANE TRIGONOMETRY,,"Bain, Leslie M.",arranged,unscheduled,,,,,,,,,20489,14 / 25 / na,68
MATH,1914,001,,PRECALCULUS,,"Cox, Allie M.",in_person,scheduled,MWF 8:00am,50,MWF,08:00:00,08:50:00,Corley,101,,20498,13 / 30 / 42,69
MATH,1914,001,,PRECALCULUS,,"Cox, Allie M.",in_person,scheduled,T 9:30am,80,T,09:30:00,10:50:00,Corley,101,,20498,13 / 30 / 42,70
MATH,1914,003,,PRECALCULUS,,"Ballard, Kasey L.",in_person,scheduled,R 9:30am,80,R,09:30:00,10:50:00,Corley,102,,20486,21 / 30 / 32,71
MATH,1914,003,,PRECALCULUS,,"Ballard, Kasey L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,268,,20486,21 / 30 / 36,72
MATH,1914,P01,,PRECALCULUS,,"King, William H.",arranged,unscheduled,,,,,,Maumelle Charter High School,MCHS,,21134,0 / 4 / 9999,73
MATH,2033,001,,MATH CONCEPTS I,,"Taylor, Teresa L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,102,,20456,11 / 25 / 32,74
MATH,2043,001,,MATH CONCEPTS II,,"Taylor, Teresa L.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Corley,102,,20457,1 / 25 / 32,75
MATH,2043,TC1,,MATH CONCEPTS II,,"Taylor, Teresa L.",arranged,unscheduled,,,,,,,,,20458,9 / 25 / na,76
MATH,2223,001,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",in_person,scheduled,MWF 11:00am,50,MWF,11:00:00,11:50:00,Corley,103,,20501,12 / 30 / 36,77
MATH,2223,002,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",in_person,scheduled,TR 11:00am,80,TR,11:00:00,12:20:00,Corley,103,,20502,5 / 30 / 36,78
MATH,2223,003,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,103,,20503,14 / 30 / 36,79
MATH,2223,TC1,,QUANTITATIVE BUSINESS ANALYSIS,,"Cox, Allie M.",arranged,unscheduled,,,,,,,,,20505,14 / 30 / na,80
MATH,2243,001,,CALCULUS-BUSINESS/ECON,,"Overduin, Matthew D.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Corley,104,,20528,15 / 30 / 36,81
MATH,2243,002,,CALCULUS-BUSINESS/ECON,,"Overduin, Matthew D.",in_person,scheduled,TR 9:30am,80,TR,09:30:00,10:50:00,Ross Pendergraft Library,220,,20529,4 / 25 / 30,82
MATH,2703,001,,DISCRETE MATHEMATICS,,"Jordan, Susan M.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Corley,101,,20506,5 / 30 / 42,83
MATH,2703,002,,DISCRETE MATHEMATICS,,"Limperis, Thomas G.",in_person,scheduled,TR 11:00am,80,TR,11:00:00,12:20:00,Rothwell,206,,20520,-1 / 30 / 32,84
MATH,2703,TC1,,DISCRETE MATHEMATICS,,"Jordan, Susan M.",arranged,unscheduled,,,,,,,,,20530,14 / 30 / na,85
MATH,2914,001,,CALCULUS I,,"Jordan, Susan M.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Corley,101,,20508,3 / 30 / 42,86
MATH,2914,001,,CALCULUS I,,"Jordan, Susan M.",in_person,scheduled,R 9:30am,80,R,09:30:00,10:50:00,Corley,101,,20508,3 / 30 / 42,87
MATH,2914,002,,CALCULUS I,,"Jordan, Susan M.",in_person,scheduled,R 1:00pm,80,R,13:00:00,14:20:00,Corley,101,,20511,17 / 30 / 42,88
MATH,2914,002,,CALCULUS I,,"Jordan, Susan M.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Corley,101,,20511,17 / 30 / 42,89
MATH,2914,003,,CALCULUS I,,new_instructor,in_person,scheduled,MWF 2:00pm,50,MWF,14:00:00,14:50:00,Corley,101,,20513,30 / 30 / 42,90
MATH,2914,003,,CALCULUS I,,new_instructor,in_person,scheduled,R 2:30pm,80,R,14:30:00,15:50:00,Corley,101,,20513,30 / 30 / 42,91
MATH,2924,001,,CALCULUS II,,"Myers, Jeanine L.",in_person,scheduled,MWF 1:00pm,50,MWF,13:00:00,13:50:00,Corley,102,,20524,14 / 30 / 32,92
MATH,2924,001,,CALCULUS II,,"Myers, Jeanine L.",in_person,scheduled,R 1:00pm,80,R,13:00:00,14:20:00,Corley,102,,20524,14 / 30 / 32,93
MATH,2924,002,,CALCULUS II,,"Limperis, Thomas G.",in_person,scheduled,MWF 12:00pm,50,MWF,12:00:00,12:50:00,Rothwell,206,,20521,-3 / 32 / 32,94
MATH,2924,002,,CALCULUS II,,"Limperis, Thomas G.",in_person,scheduled,T 1:00pm,80,T,13:00:00,14:20:00,Rothwell,206,,20521,-3 / 32 / 32,95
MATH,2924,003,,CALCULUS II,,"Limperis, Thomas G.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Rothwell,306,,20522,3 / 30 / 40,96
MATH,2924,003,,CALCULUS II,,"Limperis, Thomas G.",in_person,scheduled,R 9:30am,80,R,09:30:00,10:50:00,Rothwell,206,,20522,3 / 30 / 32,97
MATH,2934,001,,CALCULUS III,,"Myers, Jeanine L.",in_person,scheduled,T 9:30am,80,T,09:30:00,10:50:00,Rothwell,207,,20525,16 / 30 / 43,98
MATH,2934,001,,CALCULUS III,,"Myers, Jeanine L.",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Rothwell,207,,20525,16 / 30 / 43,99
MATH,2934,002,,CALCULUS III,,"Myers, Jeanine L.",in_person,scheduled,MWF 11:00am,50,MWF,11:00:00,11:50:00,Corley,101,,20526,-3 / 30 / 42,100
MATH,2934,002,,CALCULUS III,,"Myers, Jeanine L.",in_person,scheduled,R 11:00am,80,R,11:00:00,12:20:00,Corley,101,,20526,-3 / 30 / 42,101
MATH,3033,001,,METH TEACH ELEM MATH,,"Taylor, Teresa L.",in_person,scheduled,TR 11:00am,80,TR,11:00:00,12:20:00,Corley,102,,20459,14 / 25 / 32,102
MATH,3033,AT1,,METH TEACH ELEM MATH,,new_instructor,arranged,unscheduled,,,,,,,,,20460,25 / 25 / na,103
MATH,3123,001,,COLLEGE GEOMETRY,,"Overduin, Matthew D.",in_person,scheduled,MWF 2:00pm,50,MWF,14:00:00,14:50:00,Corley,102,,20531,20 / 25 / 32,104
MATH,3203,001,,INTRO TO ANALYSIS,,"Myers, Jeanine L.",in_person,scheduled,MWF 8:00am,50,MWF,08:00:00,08:50:00,Corley,268,,20527,17 / 30 / 36,105
MATH,3203,H01,,HONORS INTRO TO ANALYSIS,,"Myers, Jeanine L.",in_person,scheduled,MWF 8:00am,50,MWF,08:00:00,08:50:00,Corley,268,,21939,-2 / 0 / 36,106
MATH,3243,001,,DIFF EQUATIONS I,,"Xiao, Xinli",in_person,scheduled,MWF 10:00am,50,MWF,10:00:00,10:50:00,Rothwell,206,,20446,4 / 30 / 32,107
MATH,3243,002,,DIFF EQUATIONS I,,"Limperis, Thomas G.",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Rothwell,212,,20523,-1 / 33 / 56,108
MATH,4003,001,,LINEAR ALGEBRA I,,"Xiao, Xinli",in_person,scheduled,MWF 9:00am,50,MWF,09:00:00,09:50:00,Rothwell,206,,20447,3 / 30 / 32,109
MATH,4971,001,,MATHEMATICS SENIOR SEMINAR,,"Xiao, Xinli",in_person,scheduled,T 11:00am,80,T,11:00:00,12:20:00,Corley,101,,20448,4 / 10 / 42,110
MATH,4993,001,,SP: MATHEMATICAL MODELING,,"Limperis, Thomas G.",arranged,unscheduled,,,,,,,,,21948,-2 / 0 / na,111
MATH,5173,TC1,,ADVANCED BIOSTATISTICS,,"Jordan, Scott M.",arranged,unscheduled,,,,,,,,,20536,10 / 10 / na,112
